NAME,VOTERS,MALE_CHILDREN,FREE_FEMALE,OTHER,SLAVES,TOTAL
Connecticut,60523,54403,117448,2808,2764,237946
Delaware,11783,12143,22384,3899,8887,59094
Georgia,13103,14044,25739,398,29264,82548
Maryland,55915,51339,101395,8043,103036,319728
Massachusetts,119837,112037,237452,6001,0,475327
New Hampshire,36086,34851,70160,630,158,141885
New Jersey,45251,41416,83287,2762,11423,184139
New York,83700,78122,152320,4654,21324,340120
North Carolina,69988,77506,140710,4975,100572,393751
Pennsylvania,110788,106948,206363,6537,3737,434373
Rhode Island,16019,15799,32652,3407,948,68825
South Carolina,35576,37722,66880,1801,107094,249073
Virginia,126090,133192,243968,12980,305057,821287
