NAME,Q22018_GDP
Alabama,221026000
Alaska,53944000
Arizona,344636000
Arkansas,127951000
California,2935332000
Colorado,363845000
Connecticut,272745000
Delaware,74717000
Florida,1029154000
Georgia,587325000
Hawaii,91048000
Idaho,76187000
Illinois,859067000
Indiana,369209000
Iowa,189299000
Kansas,164018000
Kentucky,209562000
Louisiana,249726000
Maine,64203000
Maryland,414373000
Massachusetts,569290000
Michigan,532039000
Minnesota,362904000
Mississippi,113334000
Missouri,316735000
Montana,49514000
Nebraska,123363000
Nevada,167708000
New Hampshire,85548000
New Jersey,626824000
New Mexico,98390000
New York,1675685000
North Carolina,565300000
North Dakota,55180000
Ohio,672055000
Oklahoma,199572000
Oregon,238687000
Pennsylvania,788842000
Rhode Island,61168000
South Carolina,230213000
South Dakota,51721000
Tennessee,365129000
Texas,1755634000
Utah,175601000
Vermont,33522000
Virginia,532896000
Washington,559011000
West Virginia,77748000
Wisconsin,335560000
Wyoming,40384000
