NAME, fatalities
Alabama,1038
Alaska,84
Arizona,962
Arkansas,545
California,3623
Colorado,608
Connecticut,293
Delaware,119
Florida,3174
Georgia,1554
Hawaii,120
Idaho,253
Illinois,1082
Indiana,821
Iowa,404
Kansas,429
Kentucky,834
Louisiana,757
Maine,161
Maryland,505
Massachusetts,389
Michigan,1064
Minnesota,392
Mississippi,690
Missouri,945
Montana,190
Nebraska,218
Nevada,328
New Hampshire,136
New Jersey,601
New Mexico,402
New York,1025
North Carolina,1450
North Dakota,113
Ohio,1132
Oklahoma,683
Oregon,495
Pennsylvania,1188
Rhode Island,51
South Carolina,1015
South Dakota,116
Tennessee,1041
Texas,3776
Utah,281
Vermont,62
Virginia,760
Washington,537
West Virginia,269
Wisconsin,607
Wyoming,112
