Year,NAME,Party, Senator,Pct_Vote
Alabama,Red, R. Shelby,64.2%
Alaska,Red, L. Murkowski,44.3%
Blue, R. Metcalfe,11.1%
Arizona,Red, J. McCain,53.4%
Arkansas,Red, J. Boozman,59.8%
California,Blue, K. Harris,62.4%
Colorado,Blue, M. Bennet,49.1%
Connecticut,Blue, R. Blumenthal,62.9%
Florida,Red, M. Rubio,52.0%
Georgia,Red, J. Isakson,55.0%
Hawaii,Blue, B. Schatz,73.6%
Idaho,Red, M. Crapo,66.1%
Illinois,Blue, T. Duckworth,54.4%
Indiana,Red, T. Young,52.1%
Iowa,Red, C. Grassley,60.2%
Kansas,Red, J. Moran,62.4%
Kentucky,Red, R. Paul,57.3%
Louisiana,Red, * J. Kennedy,60.65%
Maryland,Blue, C. Van Hollen,60.4%
Missouri,Red, R. Blunt,49.4%
Nevada,Blue, C. Cortez Masto,47.1%
New Hampshire, Blue, M. Hassan,48.0%
New York, Blue, C. Schumer,70.4%
North Carolina, Red, R. Burr,51.1%
North Dakota, Red, J. Hoeven,78.6%
Ohio,Red, R. Portman,58.3%
Oklahoma,Red, J. Lankford,67.7%
Oregon,Blue, R. Wyden,56.7%
Pennsylvania,Red, P. Toomey,48.9%
South Carolina, Red, T. Scott,60.5%
South Dakota, Red, J. Thune,71.8%
Utah,Red, M. Lee,68.0%
Vermont,Blue, P. Leahy,61.3%
Washington,Blue, P. Murray,59.1%
Wisconsin,Red, R. Johnson,50.2%
