Year,NAME,Party,Senator,Pct_Vote
2018,California,Blue,Diane Feinstein,54.5
2018,Connecticut,Blue,Chris Murphy,59.4
2018,Delaware,Blue,Tom Carper,60.0
2018,Hawaii,Blue,Mazie Hirono,71.1
2018,Maine,Blue,Angus King,54.4
2018,Massachusetts,Blue,Elizabeth Warren,60.3
2018,Maryland,Blue,Ben Carden,64.2
2018,Minnesota,Blue,Amy Klobuchar,60.3
2018,Minnesota,Blue,Tina Smith,53.0
2018,New York,Blue,Kirsten Gillibrand,66.5
2018,Rhode Island,Blue,Sheldon Whitehouse,61.5
2018,Vermont,Blue,Bernie Sanders,67.4
2018,Michigan,Blue,Debbie Stabenow,52.2
2018,New Mexico,Blue,Martin Heinrich,54.0
2018,Ohio,Blue,Sherrod Brown,53.2
2018,Pennsylvania,Blue,Bob Casey,55.6
2018,Virginia,Blue,Tim Kaine,56.9
2018,Washington,Blue,Maria Cantwell,58.7
2018,Florida,Red,Rick Scott,50.1	
2018,Indiana,Red,Mike Braun,51.0		
2018,Missouri,Red,Josh Hawley,51.5	
2018,Montana,Blue,John Tester,50.1
2018,North Dakota,Red,Kevin Kramer,55.4	
2018,New Jersey,Blue,Robert Menendez,53.7
2018,West Virginia,Blue,Joe Manchin,49.5,	
2018,Wisconsin,Blue,Tammy Baldwin,55.4
2018,Arizona,Blue,Kyrsten Sinema,49.7
2018,Nevada,Blue,Jacky Rosen,50.4
2018,Tennessee,Red,Marsha Blackburn,54.7	
2018,Texas,Red,Ted Cruz,50.9	
2018,Mississippi,Red,Roger Wicker,58.8	
2018,Nebraska,Red,Deb Fische,58.1	
2018,Utah,Red,Mitt Romney,62.6	
2018,Wyoming,Red,John Barrasso,67.1
2018,Mississippi,,Red,Cyndi Hyde Smith,53.9
