NAME,part,pct,sign
Alabama,Red,64.2,1
Alabama,Red,100.00,1
Alaska,Red,44.3,1
Alaska,Red,48.8,1
Arizona,Blue,49.7,-1
Arizona,Red,53.4,1
Arkansas,Red,59.8,1
Arkansas,Red,56.5,1
California,Blue,62.4,-1
California,Blue,54.5,-1
Colorado,Blue,49.1,-1
Colorado,Red,48.5,1
Connecticut,Blue,62.9,-1
Connecticut,Blue,59.4,-1
Delaware,Blue,55.8,-1
Delaware,Blue,60.0,-1
Florida,Red,52.0,1
Florida,Red,50.1,1
Georga,Red,53.0,1
Georgia,Red,55.0,1
Hawaii,Blue,73.6,-1
Hawaii,Blue,69.8,-1
Hawaii,Blue,71.1,-1
Idaho,Red,66.1,1
Idaho,Red,65.3,1
Illinois,Blue,54.4,-1
Illinois,Blue,53.1,-1
Indiana,Red,52.1,1
Indiana,Red,51.0,1
Iowa,Red,60.2,1
Iowa,Red,52.2,1
Kansas,Red,62.4,1
Kansas,Red,53.3,1
Kentucky,Red,57.3,1
Kentucky,Red,56.2,1
Louisiana,Red,60.65,1
Louisiana,Red,55.9,1
Maine,Blue,54.4,-1
Maine,Red,68.4,1
Maryland,Blue,60.4,-1
Maryland,Blue,64.2,-1
Massachusetts,Blue,62.0,-1
Massachusetts,Blue,60.3,-1
Michigan,Blue,52.2,-1
Michigan,Blue,54.6,-1
Minnesota,Blue,53.2,-1
Minnesota,Blue,60.3,-1
Minnesota,Blue,53.0,-1
Mississippi,Red,58.8,1
Mississippi,Red,60.4,1
Missouri,Red,49.4,1
Missouri,Red,51.5,1
Montana,Blue,50.1,-1
Montana,Red,57.9,1
Nebraska,Red,64.8,1
Nebraska,Red,58.1,1
Nevada,Blue,47.1,-1
Nevada,Blue,50.4,-1
New Hampshire,Blue,48.0,-1
New Hampshire,Blue,51.6,-1
New Jersey,Blue,55.8,-1
New Jersey,Blue,53.7,-1
New Mexico,Blue,54.0,-1
New Mexico,Blue,55.4,-1
New York,Blue,70.4,-1
New York,Blue,66.5,-1
North Carolina,Red,51.1,1
North Carolina,Red,49.0,1
North Dakota,Red,78.6,1
North Dakota,Red,55.4,1
Ohio,Blue,53.2,-1
Ohio,Red,58.3,1
Oklahoma,Red,67.7,1
Oklahoma,Red,68.0,1
Oklahoma,Red,67.9,1
Oregon,Blue,56.7,-1
Oregon,Blue,55.8,-1
Pennsylvania,Blue,55.6,-1
Pennsylvania,Red,48.9,1
Rhode Island,Blue,70.7,-1
Rhode Island,Blue,61.5,-1
South Carolina,Red,60.5,1
South Carolina,Red,54.5,1
South Carolina,Red,61.2,1
South Dakota,Red,71.8,1
South Dakota,Red,50.4,1
Tennessee,Red,61.9,1
Tennessee,Red,54.7,1
Texas,Red,61.6,1
Texas,Red,50.9,1
Utah,Red,68.0,1
Utah,Red,62.6,1
Vermont,Blue,61.3,-1
Vermont,Blue,67.4,-1
Virginia,Blue,49.2,-1
Virginia,Blue,56.9,-1
Washington,Blue,59.1,-1
Washington,Blue,58.7,-1
West Virginia,Blue,49.5,-1
West Virginia,Red,62.1,1
Wisconsin,Blue,55.4,-1
Wisconsin,Red,50.2,1
Wyoming,Red,67.1,1
Wyoming,Red,72.3,1
