GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,2017 Estimate; SEX AND AGE - Total population
HC02_VC03,2016 Estimate; SEX AND AGE - Total population
HC03_VC03,2017 - 2016 Statistical Significance; SEX AND AGE - Total population
HC04_VC03,2015 Estimate; SEX AND AGE - Total population
HC05_VC03,2017 - 2015 Statistical Significance; SEX AND AGE - Total population
HC06_VC03,2014 Estimate; SEX AND AGE - Total population
HC07_VC03,2017 - 2014 Statistical Significance; SEX AND AGE - Total population
HC08_VC03,2013 Estimate; SEX AND AGE - Total population
HC09_VC03,2017 - 2013 Statistical Significance; SEX AND AGE - Total population
HC01_VC04,2017 Estimate; SEX AND AGE - Total population - Male
HC02_VC04,2016 Estimate; SEX AND AGE - Total population - Male
HC03_VC04,2017 - 2016 Statistical Significance; SEX AND AGE - Total population - Male
HC04_VC04,2015 Estimate; SEX AND AGE - Total population - Male
HC05_VC04,2017 - 2015 Statistical Significance; SEX AND AGE - Total population - Male
HC06_VC04,2014 Estimate; SEX AND AGE - Total population - Male
HC07_VC04,2017 - 2014 Statistical Significance; SEX AND AGE - Total population - Male
HC08_VC04,2013 Estimate; SEX AND AGE - Total population - Male
HC09_VC04,2017 - 2013 Statistical Significance; SEX AND AGE - Total population - Male
HC01_VC05,2017 Estimate; SEX AND AGE - Total population - Female
HC02_VC05,2016 Estimate; SEX AND AGE - Total population - Female
HC03_VC05,2017 - 2016 Statistical Significance; SEX AND AGE - Total population - Female
HC04_VC05,2015 Estimate; SEX AND AGE - Total population - Female
HC05_VC05,2017 - 2015 Statistical Significance; SEX AND AGE - Total population - Female
HC06_VC05,2014 Estimate; SEX AND AGE - Total population - Female
HC07_VC05,2017 - 2014 Statistical Significance; SEX AND AGE - Total population - Female
HC08_VC05,2013 Estimate; SEX AND AGE - Total population - Female
HC09_VC05,2017 - 2013 Statistical Significance; SEX AND AGE - Total population - Female
HC01_VC06,2017 Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC02_VC06,2016 Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC03_VC06,2017 - 2016 Statistical Significance; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC04_VC06,2015 Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC05_VC06,2017 - 2015 Statistical Significance; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC06_VC06,2014 Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC07_VC06,2017 - 2014 Statistical Significance; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC08_VC06,2013 Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC09_VC06,2017 - 2013 Statistical Significance; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC01_VC09,2017 Estimate; SEX AND AGE - Under 5 years
HC02_VC09,2016 Estimate; SEX AND AGE - Under 5 years
HC03_VC09,2017 - 2016 Statistical Significance; SEX AND AGE - Under 5 years
HC04_VC09,2015 Estimate; SEX AND AGE - Under 5 years
HC05_VC09,2017 - 2015 Statistical Significance; SEX AND AGE - Under 5 years
HC06_VC09,2014 Estimate; SEX AND AGE - Under 5 years
HC07_VC09,2017 - 2014 Statistical Significance; SEX AND AGE - Under 5 years
HC08_VC09,2013 Estimate; SEX AND AGE - Under 5 years
HC09_VC09,2017 - 2013 Statistical Significance; SEX AND AGE - Under 5 years
HC01_VC10,2017 Estimate; SEX AND AGE - 5 to 9 years
HC02_VC10,2016 Estimate; SEX AND AGE - 5 to 9 years
HC03_VC10,2017 - 2016 Statistical Significance; SEX AND AGE - 5 to 9 years
HC04_VC10,2015 Estimate; SEX AND AGE - 5 to 9 years
HC05_VC10,2017 - 2015 Statistical Significance; SEX AND AGE - 5 to 9 years
HC06_VC10,2014 Estimate; SEX AND AGE - 5 to 9 years
HC07_VC10,2017 - 2014 Statistical Significance; SEX AND AGE - 5 to 9 years
HC08_VC10,2013 Estimate; SEX AND AGE - 5 to 9 years
HC09_VC10,2017 - 2013 Statistical Significance; SEX AND AGE - 5 to 9 years
HC01_VC11,2017 Estimate; SEX AND AGE - 10 to 14 years
HC02_VC11,2016 Estimate; SEX AND AGE - 10 to 14 years
HC03_VC11,2017 - 2016 Statistical Significance; SEX AND AGE - 10 to 14 years
HC04_VC11,2015 Estimate; SEX AND AGE - 10 to 14 years
HC05_VC11,2017 - 2015 Statistical Significance; SEX AND AGE - 10 to 14 years
HC06_VC11,2014 Estimate; SEX AND AGE - 10 to 14 years
HC07_VC11,2017 - 2014 Statistical Significance; SEX AND AGE - 10 to 14 years
HC08_VC11,2013 Estimate; SEX AND AGE - 10 to 14 years
HC09_VC11,2017 - 2013 Statistical Significance; SEX AND AGE - 10 to 14 years
HC01_VC12,2017 Estimate; SEX AND AGE - 15 to 19 years
HC02_VC12,2016 Estimate; SEX AND AGE - 15 to 19 years
HC03_VC12,2017 - 2016 Statistical Significance; SEX AND AGE - 15 to 19 years
HC04_VC12,2015 Estimate; SEX AND AGE - 15 to 19 years
HC05_VC12,2017 - 2015 Statistical Significance; SEX AND AGE - 15 to 19 years
HC06_VC12,2014 Estimate; SEX AND AGE - 15 to 19 years
HC07_VC12,2017 - 2014 Statistical Significance; SEX AND AGE - 15 to 19 years
HC08_VC12,2013 Estimate; SEX AND AGE - 15 to 19 years
HC09_VC12,2017 - 2013 Statistical Significance; SEX AND AGE - 15 to 19 years
HC01_VC13,2017 Estimate; SEX AND AGE - 20 to 24 years
HC02_VC13,2016 Estimate; SEX AND AGE - 20 to 24 years
HC03_VC13,2017 - 2016 Statistical Significance; SEX AND AGE - 20 to 24 years
HC04_VC13,2015 Estimate; SEX AND AGE - 20 to 24 years
HC05_VC13,2017 - 2015 Statistical Significance; SEX AND AGE - 20 to 24 years
HC06_VC13,2014 Estimate; SEX AND AGE - 20 to 24 years
HC07_VC13,2017 - 2014 Statistical Significance; SEX AND AGE - 20 to 24 years
HC08_VC13,2013 Estimate; SEX AND AGE - 20 to 24 years
HC09_VC13,2017 - 2013 Statistical Significance; SEX AND AGE - 20 to 24 years
HC01_VC14,2017 Estimate; SEX AND AGE - 25 to 34 years
HC02_VC14,2016 Estimate; SEX AND AGE - 25 to 34 years
HC03_VC14,2017 - 2016 Statistical Significance; SEX AND AGE - 25 to 34 years
HC04_VC14,2015 Estimate; SEX AND AGE - 25 to 34 years
HC05_VC14,2017 - 2015 Statistical Significance; SEX AND AGE - 25 to 34 years
HC06_VC14,2014 Estimate; SEX AND AGE - 25 to 34 years
HC07_VC14,2017 - 2014 Statistical Significance; SEX AND AGE - 25 to 34 years
HC08_VC14,2013 Estimate; SEX AND AGE - 25 to 34 years
HC09_VC14,2017 - 2013 Statistical Significance; SEX AND AGE - 25 to 34 years
HC01_VC15,2017 Estimate; SEX AND AGE - 35 to 44 years
HC02_VC15,2016 Estimate; SEX AND AGE - 35 to 44 years
HC03_VC15,2017 - 2016 Statistical Significance; SEX AND AGE - 35 to 44 years
HC04_VC15,2015 Estimate; SEX AND AGE - 35 to 44 years
HC05_VC15,2017 - 2015 Statistical Significance; SEX AND AGE - 35 to 44 years
HC06_VC15,2014 Estimate; SEX AND AGE - 35 to 44 years
HC07_VC15,2017 - 2014 Statistical Significance; SEX AND AGE - 35 to 44 years
HC08_VC15,2013 Estimate; SEX AND AGE - 35 to 44 years
HC09_VC15,2017 - 2013 Statistical Significance; SEX AND AGE - 35 to 44 years
HC01_VC16,2017 Estimate; SEX AND AGE - 45 to 54 years
HC02_VC16,2016 Estimate; SEX AND AGE - 45 to 54 years
HC03_VC16,2017 - 2016 Statistical Significance; SEX AND AGE - 45 to 54 years
HC04_VC16,2015 Estimate; SEX AND AGE - 45 to 54 years
HC05_VC16,2017 - 2015 Statistical Significance; SEX AND AGE - 45 to 54 years
HC06_VC16,2014 Estimate; SEX AND AGE - 45 to 54 years
HC07_VC16,2017 - 2014 Statistical Significance; SEX AND AGE - 45 to 54 years
HC08_VC16,2013 Estimate; SEX AND AGE - 45 to 54 years
HC09_VC16,2017 - 2013 Statistical Significance; SEX AND AGE - 45 to 54 years
HC01_VC17,2017 Estimate; SEX AND AGE - 55 to 59 years
HC02_VC17,2016 Estimate; SEX AND AGE - 55 to 59 years
HC03_VC17,2017 - 2016 Statistical Significance; SEX AND AGE - 55 to 59 years
HC04_VC17,2015 Estimate; SEX AND AGE - 55 to 59 years
HC05_VC17,2017 - 2015 Statistical Significance; SEX AND AGE - 55 to 59 years
HC06_VC17,2014 Estimate; SEX AND AGE - 55 to 59 years
HC07_VC17,2017 - 2014 Statistical Significance; SEX AND AGE - 55 to 59 years
HC08_VC17,2013 Estimate; SEX AND AGE - 55 to 59 years
HC09_VC17,2017 - 2013 Statistical Significance; SEX AND AGE - 55 to 59 years
HC01_VC18,2017 Estimate; SEX AND AGE - 60 to 64 years
